"filename", "language", "JSON", "Markdown", "JSON with Comments", "YAML", "TypeScript", "PostCSS", "Ignore", "JavaScript", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\.github\ISSUE_TEMPLATE\bug_report.md", "Markdown", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 9, 39
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\.github\ISSUE_TEMPLATE\feature_request.md", "Markdown", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 6, 21
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\.github\PULL_REQUEST_TEMPLATE.md", "Markdown", 0, 9, 0, 0, 0, 0, 0, 0, 0, 4, 10, 23
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\.github\dependabot.yml", "YAML", 0, 0, 0, 6, 0, 0, 0, 0, 0, 3, 2, 11
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\.github\workflows\ci.yml", "YAML", 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 12, 69
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\.github\workflows\deploy-sanity.yml", "YAML", 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 10, 81
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\.github\workflows\sanity-template.yml", "YAML", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\CLAUDE.md", "Markdown", 0, 124, 0, 0, 0, 0, 0, 0, 0, 0, 60, 184
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\CODE_OF_CONDUCT.md", "Markdown", 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 36, 129
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\CONTRIBUTING.md", "Markdown", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 12, 32
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\README.md", "Markdown", 0, 96, 0, 0, 0, 0, 0, 0, 0, 0, 57, 153
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\SECURITY.md", "Markdown", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 7, 14
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\studio\README.md", "Markdown", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\studio\components\blueprint-badge.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 9, 15, 3, 27
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\studio\components\collapsible-field-wrapper.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 4, 46
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\studio\components\copy-button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 58, 0, 5, 63
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\studio\components\deployment-dashboard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 47, 2, 6, 55
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\studio\components\divider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 36, 3, 7, 46
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\studio\components\hover-card.ts", "TypeScript", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 1, 28
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\studio\components\icon-preview.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 2, 13
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\studio\components\inherited-label.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 2, 19
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\studio\components\inputs\oklch-color-input.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 590, 39, 56, 685
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\studio\components\inputs\schema-org-select-field.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 133, 6, 20, 159
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\studio\components\inputs\slug-domain-input.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 441, 24, 37, 502
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\studio\components\inputs\slug-field-component.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 211, 2, 22, 235
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\studio\components\inputs\theme-document-input.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 47, 13, 13, 73
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\studio\components\inputs\theme-preset-field-input.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 98, 4, 21, 123
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\studio\components\inputs\theme-preset-picker.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 243, 7, 20, 270
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\studio\components\logo.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 1, 47
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\studio\components\modals\create-page\OptionButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 58, 0, 2, 60
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\studio\components\modals\create-page\PlacementBreadcrumb.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 65, 0, 3, 68
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\studio\components\modals\create-page\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 126, 3, 7, 136
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\studio\components\nested-pages-structure.ts", "TypeScript", 0, 0, 0, 0, 330, 0, 0, 0, 0, 49, 59, 438
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\studio\components\panes\page-tree\DrillDownTree.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 249, 10, 21, 280
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\studio\components\panes\page-tree\ExpandableTree.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 242, 13, 18, 273
